Plant_ID,Production_Date,Shift,Planned_Units,Units_Produced,Defective_Units,Defect_Type,Supplier_ID,Raw_Material,Lead_Time_Days,Downtime_Minutes,Downtime_Reason,Inventory_Level,Reorder_Level,Production_Cost_Per_Unit,Delivery_Delay_Days,Defect_Rate,Production_Efficiency,Inventory_Status
R_Chakan,12-09-2024,B,253,229,5,Electrical,ZF,Engine_Parts,2,65,Maintenance,597,580,49001.7,4,2.18,90.51,Optimal
R_Pune,24-04-2024,A,238,202,6,Assembly,Mahindra_Suppliers,Electronics,9,118,Power_Failure,314,389,46360.9,2,2.97,84.87,Below Reorder
R_Aurangabad,13-02-2024,B,189,184,13,Electrical,ZF,Engine_Parts,7,15,Power_Failure,1076,483,79447.9,1,7.07,97.35,Optimal
R_Aurangabad,17-08-2024,B,215,211,6,Welding,Mahindra_Suppliers,Engine_Parts,10,154,Maintenance,759,365,64867.35,2,2.84,98.14,Optimal
R_Chakan,15-06-2024,A,250,220,5,Electrical,ZF,Body_Parts,8,70,Power_Failure,1118,569,77985.01,4,2.27,88.0,Optimal
R_Chakan,25-04-2024,A,223,203,8,Electrical,ZF,Electronics,11,118,Maintenance,450,579,71683.98,1,3.94,91.03,Below Reorder
R_Chakan,16-06-2024,A,193,192,15,Welding,ZF,Electronics,10,79,Maintenance,651,595,70444.37,2,7.81,99.48,Optimal
R_Chakan,15-01-2024,A,220,194,9,No Defect,Bosch,Engine_Parts,14,154,Machine_Failure,296,505,62124.04,4,4.64,88.18,Below Reorder
R_Aurangabad,06-08-2024,B,193,184,8,Welding,ZF,Gearbox,8,134,Maintenance,465,582,70209.91,5,4.35,95.34,Below Reorder
R_Pune,29-05-2024,A,246,221,0,Welding,Mahindra_Suppliers,Electronics,7,52,Maintenance,829,453,56825.4,1,0.0,89.84,Optimal
R_Chakan,07-01-2024,C,188,177,4,Electrical,Valeo,Engine_Parts,8,160,Machine_Failure,706,572,77754.35,3,2.26,94.15,Optimal
R_Chakan,03-06-2024,B,241,211,14,Assembly,Valeo,Gearbox,2,26,Maintenance,323,420,64301.66,4,6.64,87.55,Below Reorder
R_Pune,16-04-2024,B,208,190,4,No Defect,Bosch,Engine_Parts,14,5,Machine_Failure,871,389,49886.65,2,2.11,91.35,Optimal
R_Pune,15-01-2024,C,232,209,7,Assembly,Mahindra_Suppliers,Body_Parts,4,19,Power_Failure,351,461,67949.54,5,3.35,90.09,Below Reorder
R_Aurangabad,27-05-2024,C,199,198,13,Electrical,Bosch,Body_Parts,13,60,Power_Failure,567,469,74330.81,4,6.57,99.5,Optimal
R_Aurangabad,06-04-2024,C,242,237,6,Painting,Continental,Body_Parts,5,175,Machine_Failure,993,502,54256.74,2,2.53,97.93,Optimal
R_Aurangabad,22-06-2024,B,187,150,8,Electrical,Valeo,Electronics,8,44,Power_Failure,1072,543,54828.44,1,5.33,80.21,Optimal
R_Chakan,29-05-2024,B,211,176,13,Welding,Continental,Electronics,8,98,Material_Shortage,336,306,54749.35,3,7.39,83.41,Optimal
R_Pune,28-08-2024,C,260,231,11,No Defect,Valeo,Electronics,11,42,Material_Shortage,532,487,66228.58,2,4.76,88.85,Optimal
R_Pune,25-02-2024,A,217,194,15,Painting,Valeo,Electronics,4,135,Material_Shortage,1033,596,75227.51,5,7.73,89.4,Optimal
R_Aurangabad,19-02-2024,C,229,190,0,Painting,Continental,Electronics,8,166,Material_Shortage,1149,305,55432.99,4,0.0,82.97,Optimal
R_Aurangabad,12-01-2024,C,194,161,10,Assembly,ZF,Electronics,8,123,Maintenance,609,597,74329.0,5,6.21,82.99,Optimal
R_Pune,09-05-2024,A,234,194,14,Electrical,Mahindra_Suppliers,Electronics,8,111,Material_Shortage,982,476,73201.85,1,7.22,82.91,Optimal
R_Chakan,14-02-2024,C,209,191,9,Electrical,Valeo,Gearbox,9,150,Power_Failure,573,412,56590.52,4,4.71,91.39,Optimal
R_Pune,16-06-2024,B,244,213,7,Painting,Valeo,Electronics,3,52,Machine_Failure,817,411,77109.9,3,3.29,87.3,Optimal
R_Chakan,15-09-2024,C,257,231,10,Welding,Mahindra_Suppliers,Body_Parts,11,11,Power_Failure,1001,524,70817.06,0,4.33,89.88,Optimal
R_Aurangabad,13-10-2024,C,242,215,1,Electrical,ZF,Electronics,4,144,Maintenance,871,469,61958.14,5,0.47,88.84,Optimal
R_Aurangabad,07-08-2024,C,216,191,13,Assembly,Continental,Gearbox,14,149,Machine_Failure,1105,392,53080.36,1,6.81,88.43,Optimal
R_Chakan,22-10-2024,A,213,183,8,Assembly,Continental,Body_Parts,9,80,Power_Failure,667,323,46883.45,0,4.37,85.92,Optimal
R_Pune,17-05-2024,C,234,208,7,Assembly,Continental,Engine_Parts,15,65,Maintenance,1057,461,73077.44,3,3.37,88.89,Optimal
R_Chakan,09-07-2024,C,255,244,0,No Defect,Mahindra_Suppliers,Engine_Parts,2,102,Maintenance,240,392,77261.77,3,0.0,95.69,Below Reorder
R_Pune,07-02-2024,C,205,183,0,No Defect,Valeo,Electronics,11,78,Maintenance,304,541,71434.77,2,0.0,89.27,Below Reorder
R_Pune,08-10-2024,B,205,178,13,Assembly,Bosch,Engine_Parts,14,131,Machine_Failure,500,388,60331.44,3,7.3,86.83,Optimal
R_Aurangabad,24-03-2024,C,198,167,11,Welding,Continental,Body_Parts,12,170,Material_Shortage,543,398,67105.74,1,6.59,84.34,Optimal
R_Pune,12-10-2024,C,219,182,8,Painting,Bosch,Engine_Parts,13,89,Machine_Failure,312,420,55470.49,1,4.4,83.11,Below Reorder
R_Chakan,12-02-2024,B,243,220,2,Welding,ZF,Body_Parts,11,174,Machine_Failure,888,523,54959.98,4,0.91,90.53,Optimal
R_Aurangabad,01-02-2024,C,231,204,5,Assembly,Valeo,Body_Parts,11,140,Maintenance,944,499,59956.02,5,2.45,88.31,Optimal
R_Chakan,30-03-2024,B,241,238,13,Assembly,Continental,Gearbox,3,21,Machine_Failure,678,481,70532.14,1,5.46,98.76,Optimal
R_Aurangabad,24-04-2024,A,247,212,8,No Defect,Continental,Gearbox,13,110,Machine_Failure,1198,572,76908.35,4,3.77,85.83,Optimal
R_Aurangabad,01-09-2024,B,241,209,2,Electrical,Bosch,Gearbox,13,105,Machine_Failure,275,583,57917.09,0,0.96,86.72,Below Reorder
R_Chakan,21-03-2024,B,227,209,11,Electrical,Bosch,Body_Parts,15,83,Maintenance,795,421,55207.6,3,5.26,92.07,Optimal
R_Pune,23-05-2024,C,260,251,10,Electrical,Continental,Engine_Parts,8,8,Material_Shortage,904,321,56319.06,4,3.98,96.54,Optimal
R_Aurangabad,29-09-2024,C,256,236,1,Painting,Continental,Gearbox,4,133,Machine_Failure,325,325,57319.96,4,0.42,92.19,Optimal
R_Aurangabad,01-08-2024,C,217,192,4,Assembly,Continental,Electronics,14,46,Machine_Failure,1107,335,45446.71,0,2.08,88.48,Optimal
R_Pune,19-01-2024,A,250,215,10,Electrical,Continental,Body_Parts,15,166,Material_Shortage,419,518,57891.83,3,4.65,86.0,Below Reorder
R_Aurangabad,26-03-2024,B,216,202,1,No Defect,Bosch,Electronics,5,65,Power_Failure,209,358,76817.54,4,0.5,93.52,Below Reorder
R_Chakan,03-06-2024,C,260,226,11,Assembly,Continental,Gearbox,7,1,Maintenance,291,474,63745.44,1,4.87,86.92,Below Reorder
R_Chakan,06-07-2024,A,255,235,6,No Defect,Valeo,Engine_Parts,6,167,Machine_Failure,1191,332,75991.29,5,2.55,92.16,Optimal
R_Chakan,16-02-2024,B,251,249,9,Welding,Continental,Gearbox,2,21,Material_Shortage,380,532,66338.99,2,3.61,99.2,Below Reorder
R_Pune,30-09-2024,C,201,175,4,Welding,Continental,Electronics,3,127,Material_Shortage,685,396,78381.42,4,2.29,87.06,Optimal
R_Chakan,07-02-2024,B,185,160,7,Welding,Continental,Electronics,5,35,Machine_Failure,404,359,70550.95,0,4.38,86.49,Optimal
R_Chakan,29-03-2024,A,215,197,1,No Defect,Valeo,Gearbox,4,55,Machine_Failure,723,440,64940.92,1,0.51,91.63,Optimal
R_Aurangabad,22-08-2024,B,190,185,15,Electrical,Bosch,Body_Parts,9,4,Power_Failure,814,401,79389.77,5,8.11,97.37,Optimal
R_Chakan,07-09-2024,A,243,243,13,Painting,Continental,Gearbox,8,34,Material_Shortage,943,343,58051.28,1,5.35,100.0,Optimal
R_Chakan,15-10-2024,B,215,215,13,Electrical,Bosch,Body_Parts,7,81,Material_Shortage,823,444,51802.75,0,6.05,100.0,Optimal
R_Aurangabad,30-06-2024,A,188,175,4,Welding,Continental,Engine_Parts,11,122,Machine_Failure,269,432,61536.75,5,2.29,93.09,Below Reorder
R_Chakan,09-04-2024,A,234,219,0,Painting,ZF,Gearbox,8,100,Material_Shortage,394,585,48164.02,5,0.0,93.59,Below Reorder
R_Aurangabad,10-08-2024,B,221,204,7,No Defect,ZF,Gearbox,14,89,Material_Shortage,805,316,78567.82,5,3.43,92.31,Optimal
R_Pune,24-05-2024,C,181,170,4,Painting,Mahindra_Suppliers,Engine_Parts,15,122,Material_Shortage,1193,591,62388.66,5,2.35,93.92,Optimal
R_Pune,27-08-2024,A,225,209,8,Welding,Mahindra_Suppliers,Gearbox,9,93,Machine_Failure,391,300,72932.56,3,3.83,92.89,Optimal
R_Pune,09-01-2024,C,185,152,3,Painting,Mahindra_Suppliers,Gearbox,15,36,Material_Shortage,1122,362,71053.46,5,1.97,82.16,Optimal
R_Chakan,21-05-2024,B,180,169,1,Electrical,ZF,Gearbox,6,52,Material_Shortage,274,483,56802.67,1,0.59,93.89,Below Reorder
R_Pune,24-03-2024,C,246,217,15,Painting,Continental,Electronics,10,78,Material_Shortage,866,456,68622.6,4,6.91,88.21,Optimal
R_Pune,14-02-2024,A,245,235,4,Assembly,Bosch,Gearbox,9,27,Power_Failure,1151,399,64713.77,4,1.7,95.92,Optimal
R_Aurangabad,11-02-2024,B,212,205,13,Assembly,Valeo,Electronics,11,75,Maintenance,442,530,72968.29,0,6.34,96.7,Below Reorder
R_Chakan,15-05-2024,B,254,241,6,Assembly,Valeo,Gearbox,4,8,Material_Shortage,1180,577,49091.04,2,2.49,94.88,Optimal
R_Aurangabad,27-05-2024,B,236,216,3,Welding,Continental,Body_Parts,4,84,Maintenance,1001,495,51855.47,0,1.39,91.53,Optimal
R_Pune,09-07-2024,C,227,206,15,Welding,Continental,Body_Parts,5,91,Material_Shortage,1171,313,67292.77,5,7.28,90.75,Optimal
R_Chakan,29-04-2024,C,214,180,2,Painting,Valeo,Gearbox,10,79,Maintenance,550,507,74977.44,4,1.11,84.11,Optimal
R_Chakan,09-03-2024,C,254,250,10,Welding,Mahindra_Suppliers,Electronics,14,37,Machine_Failure,678,541,73971.62,0,4.0,98.43,Optimal
R_Chakan,12-04-2024,A,235,204,4,Painting,Mahindra_Suppliers,Engine_Parts,15,8,Maintenance,499,483,63065.1,4,1.96,86.81,Optimal
R_Chakan,24-06-2024,B,186,183,7,No Defect,Bosch,Body_Parts,13,79,Maintenance,613,439,76945.62,4,3.83,98.39,Optimal
R_Chakan,26-01-2024,C,207,206,7,Painting,Continental,Body_Parts,2,3,Power_Failure,1013,536,47181.46,5,3.4,99.52,Optimal
R_Pune,18-01-2024,A,237,206,10,Assembly,Mahindra_Suppliers,Engine_Parts,8,118,Machine_Failure,356,469,76013.97,3,4.85,86.92,Below Reorder
R_Pune,01-05-2024,A,181,145,12,Electrical,Continental,Electronics,4,105,Power_Failure,525,476,77390.47,5,8.28,80.11,Optimal
R_Chakan,15-10-2024,C,236,198,10,No Defect,Continental,Engine_Parts,4,174,Material_Shortage,216,490,75268.69,2,5.05,83.9,Below Reorder
R_Chakan,18-09-2024,B,242,210,0,Electrical,Continental,Electronics,3,113,Power_Failure,471,399,79739.76,2,0.0,86.78,Optimal
R_Aurangabad,17-04-2024,C,249,237,15,Welding,Valeo,Engine_Parts,5,39,Material_Shortage,266,408,54700.85,1,6.33,95.18,Below Reorder
R_Aurangabad,25-05-2024,C,206,178,8,Assembly,Mahindra_Suppliers,Body_Parts,5,14,Power_Failure,893,470,77005.16,4,4.49,86.41,Optimal
R_Pune,20-05-2024,B,187,185,7,No Defect,Valeo,Body_Parts,5,171,Maintenance,375,317,48510.36,4,3.78,98.93,Optimal
R_Aurangabad,09-08-2024,B,232,216,6,Welding,ZF,Electronics,8,115,Power_Failure,603,448,74708.48,1,2.78,93.1,Optimal
R_Pune,21-10-2024,B,210,175,1,Painting,Bosch,Electronics,13,178,Maintenance,817,465,55684.46,4,0.57,83.33,Optimal
R_Pune,25-08-2024,B,216,188,6,Electrical,Valeo,Electronics,7,3,Machine_Failure,424,487,48868.34,4,3.19,87.04,Below Reorder
R_Chakan,07-01-2024,C,239,215,10,Welding,Continental,Electronics,2,41,Power_Failure,987,478,48329.4,2,4.65,89.96,Optimal
R_Aurangabad,16-09-2024,C,187,180,11,Assembly,ZF,Gearbox,11,133,Maintenance,694,479,65458.73,4,6.11,96.26,Optimal
R_Pune,06-05-2024,A,219,182,3,Painting,Continental,Body_Parts,11,108,Machine_Failure,431,425,53231.86,3,1.65,83.11,Optimal
R_Pune,10-08-2024,A,208,181,0,Painting,ZF,Engine_Parts,8,26,Power_Failure,987,521,46280.84,3,0.0,87.02,Optimal
R_Aurangabad,15-03-2024,C,227,225,1,Welding,Valeo,Engine_Parts,9,80,Material_Shortage,382,351,78075.22,2,0.44,99.12,Optimal
R_Pune,11-09-2024,B,249,249,14,No Defect,Continental,Gearbox,11,21,Machine_Failure,482,323,71955.06,1,5.62,100.0,Optimal
R_Aurangabad,14-10-2024,A,200,187,6,Electrical,Continental,Electronics,15,42,Machine_Failure,338,370,78457.11,5,3.21,93.5,Below Reorder
R_Pune,27-08-2024,A,244,222,10,No Defect,Mahindra_Suppliers,Body_Parts,10,138,Maintenance,506,525,51728.34,5,4.5,90.98,Below Reorder
R_Pune,16-02-2024,A,206,199,6,Painting,ZF,Body_Parts,10,164,Maintenance,725,489,62693.63,4,3.02,96.6,Optimal
R_Aurangabad,04-09-2024,C,250,218,14,Electrical,Continental,Body_Parts,13,79,Material_Shortage,301,534,79869.48,5,6.42,87.2,Below Reorder
R_Aurangabad,16-10-2024,A,222,219,4,Assembly,Bosch,Engine_Parts,12,159,Power_Failure,819,528,69904.11,0,1.83,98.65,Optimal
R_Aurangabad,01-03-2024,B,183,173,4,Painting,Mahindra_Suppliers,Gearbox,8,29,Material_Shortage,543,586,75352.1,5,2.31,94.54,Below Reorder
R_Chakan,20-02-2024,C,253,217,8,No Defect,ZF,Gearbox,2,40,Maintenance,1093,581,75847.84,1,3.69,85.77,Optimal
R_Aurangabad,23-07-2024,B,220,208,14,Electrical,ZF,Gearbox,11,75,Machine_Failure,609,386,71139.26,1,6.73,94.55,Optimal
R_Chakan,07-09-2024,B,251,237,4,Welding,Valeo,Electronics,2,158,Material_Shortage,921,501,45626.54,1,1.69,94.42,Optimal
R_Chakan,17-07-2024,B,215,202,11,No Defect,Continental,Engine_Parts,15,143,Machine_Failure,872,549,56055.4,5,5.45,93.95,Optimal
R_Chakan,14-08-2024,A,207,206,1,Welding,Continental,Engine_Parts,7,34,Material_Shortage,985,300,54854.76,4,0.49,99.52,Optimal
R_Pune,19-08-2024,C,195,193,14,No Defect,ZF,Body_Parts,14,5,Power_Failure,1034,419,56683.63,1,7.25,98.97,Optimal
R_Chakan,24-03-2024,C,190,190,15,Assembly,Mahindra_Suppliers,Gearbox,7,96,Machine_Failure,907,574,77315.15,3,7.89,100.0,Optimal
R_Aurangabad,28-06-2024,A,255,248,0,Painting,Bosch,Engine_Parts,9,121,Power_Failure,325,532,52047.01,5,0.0,97.25,Below Reorder
R_Aurangabad,27-04-2024,B,211,201,2,Painting,Mahindra_Suppliers,Electronics,14,102,Power_Failure,397,384,54460.06,0,1.0,95.26,Optimal
R_Chakan,06-09-2024,A,227,208,12,Electrical,Mahindra_Suppliers,Engine_Parts,15,65,Machine_Failure,931,334,71813.81,4,5.77,91.63,Optimal
R_Chakan,27-06-2024,C,185,151,15,Painting,ZF,Gearbox,5,157,Material_Shortage,1054,564,69698.98,0,9.93,81.62,Optimal
R_Chakan,11-04-2024,C,238,199,14,Assembly,Mahindra_Suppliers,Gearbox,2,106,Material_Shortage,841,530,55766.08,2,7.04,83.61,Optimal
R_Chakan,29-01-2024,A,205,201,14,No Defect,Valeo,Gearbox,2,111,Maintenance,334,442,53093.89,4,6.97,98.05,Below Reorder
R_Pune,21-02-2024,B,242,212,5,No Defect,Valeo,Gearbox,3,27,Machine_Failure,331,440,58488.86,5,2.36,87.6,Below Reorder
R_Chakan,06-02-2024,C,253,249,10,Electrical,ZF,Engine_Parts,9,119,Machine_Failure,593,534,62986.72,3,4.02,98.42,Optimal
R_Pune,09-10-2024,C,245,217,1,No Defect,Mahindra_Suppliers,Engine_Parts,7,152,Maintenance,1076,403,73763.51,4,0.46,88.57,Optimal
R_Chakan,17-09-2024,B,190,189,3,Assembly,Continental,Gearbox,14,10,Maintenance,415,561,47138.93,5,1.59,99.47,Below Reorder
R_Pune,03-07-2024,A,205,200,15,No Defect,Valeo,Engine_Parts,2,177,Power_Failure,568,520,66779.75,0,7.5,97.56,Optimal
R_Chakan,01-10-2024,A,253,227,11,Painting,ZF,Electronics,9,83,Machine_Failure,897,395,79288.66,3,4.85,89.72,Optimal
R_Pune,07-10-2024,C,194,171,7,Electrical,Bosch,Electronics,14,24,Maintenance,804,361,70265.69,1,4.09,88.14,Optimal
R_Pune,30-09-2024,A,183,144,15,Electrical,Continental,Engine_Parts,3,59,Material_Shortage,1065,376,55288.68,0,10.42,78.69,Optimal
R_Chakan,04-06-2024,C,207,172,13,Assembly,Continental,Electronics,14,42,Machine_Failure,509,463,67830.72,5,7.56,83.09,Optimal
R_Pune,27-10-2024,B,189,173,5,Assembly,Mahindra_Suppliers,Gearbox,8,161,Machine_Failure,817,479,57744.78,3,2.89,91.53,Optimal
R_Chakan,06-03-2024,C,199,176,5,Electrical,Mahindra_Suppliers,Electronics,7,74,Power_Failure,451,443,72998.42,4,2.84,88.44,Optimal
R_Aurangabad,18-05-2024,B,247,231,4,No Defect,Continental,Electronics,13,57,Material_Shortage,842,517,60025.42,2,1.73,93.52,Optimal
R_Pune,25-09-2024,A,232,209,0,No Defect,Mahindra_Suppliers,Gearbox,3,80,Machine_Failure,851,404,63379.04,1,0.0,90.09,Optimal
R_Chakan,27-05-2024,B,253,229,1,Painting,Continental,Body_Parts,4,128,Machine_Failure,744,411,76623.26,0,0.44,90.51,Optimal
R_Pune,20-07-2024,A,180,160,13,Welding,ZF,Gearbox,9,158,Power_Failure,265,564,69512.46,1,8.12,88.89,Below Reorder
R_Pune,01-07-2024,C,236,210,8,Welding,Mahindra_Suppliers,Electronics,2,9,Material_Shortage,943,565,78080.93,5,3.81,88.98,Optimal
R_Aurangabad,10-03-2024,B,235,211,13,Assembly,Bosch,Gearbox,3,95,Material_Shortage,516,351,56259.0,0,6.16,89.79,Optimal
R_Aurangabad,01-08-2024,A,211,174,13,Assembly,Bosch,Gearbox,2,137,Maintenance,891,588,56579.62,0,7.47,82.46,Optimal
R_Chakan,11-07-2024,C,211,178,2,Electrical,Valeo,Gearbox,10,62,Machine_Failure,554,469,54829.68,4,1.12,84.36,Optimal
R_Aurangabad,02-08-2024,B,190,179,4,Painting,ZF,Body_Parts,10,97,Power_Failure,969,370,73922.24,0,2.23,94.21,Optimal
R_Pune,17-09-2024,A,253,248,1,Assembly,Continental,Body_Parts,4,114,Maintenance,521,495,55072.98,3,0.4,98.02,Optimal
R_Chakan,19-06-2024,C,231,220,5,Welding,Bosch,Engine_Parts,5,100,Machine_Failure,550,479,49533.38,2,2.27,95.24,Optimal
R_Pune,09-06-2024,B,209,173,15,No Defect,Mahindra_Suppliers,Engine_Parts,6,7,Maintenance,1017,406,60812.78,2,8.67,82.78,Optimal
R_Aurangabad,26-08-2024,C,180,165,15,Painting,Continental,Engine_Parts,14,13,Maintenance,970,384,63388.76,2,9.09,91.67,Optimal
R_Chakan,30-04-2024,B,205,167,2,Welding,Mahindra_Suppliers,Body_Parts,13,3,Maintenance,685,580,73510.19,5,1.2,81.46,Optimal
R_Aurangabad,05-05-2024,A,202,166,5,Assembly,Continental,Electronics,7,165,Maintenance,329,434,73356.75,1,3.01,82.18,Below Reorder
R_Chakan,21-03-2024,B,193,188,8,No Defect,Bosch,Gearbox,15,124,Power_Failure,370,597,57117.38,4,4.26,97.41,Below Reorder
R_Chakan,17-04-2024,B,255,228,2,Assembly,ZF,Electronics,12,103,Machine_Failure,636,339,74245.79,3,0.88,89.41,Optimal
R_Pune,04-01-2024,C,231,197,7,Welding,Bosch,Body_Parts,9,62,Material_Shortage,669,301,62374.58,0,3.55,85.28,Optimal
R_Aurangabad,11-06-2024,C,224,201,7,No Defect,Valeo,Electronics,5,16,Power_Failure,1071,600,57619.76,0,3.48,89.73,Optimal
R_Pune,17-02-2024,C,205,166,11,Electrical,Valeo,Body_Parts,2,124,Machine_Failure,968,585,48492.79,0,6.63,80.98,Optimal
R_Pune,30-06-2024,B,242,219,13,Welding,Continental,Body_Parts,15,95,Material_Shortage,528,569,53314.59,0,5.94,90.5,Below Reorder
R_Pune,10-09-2024,B,189,171,5,No Defect,ZF,Electronics,11,124,Material_Shortage,440,591,51531.81,1,2.92,90.48,Below Reorder
R_Chakan,13-09-2024,C,190,174,1,No Defect,Bosch,Electronics,15,19,Material_Shortage,609,519,71597.4,5,0.57,91.58,Optimal
R_Chakan,22-02-2024,A,242,202,1,Assembly,Valeo,Body_Parts,14,19,Machine_Failure,975,303,63170.6,0,0.5,83.47,Optimal
R_Pune,18-04-2024,A,221,204,2,Painting,Valeo,Electronics,10,137,Maintenance,1023,530,69386.42,3,0.98,92.31,Optimal
R_Pune,03-10-2024,C,206,178,10,Welding,ZF,Gearbox,4,88,Material_Shortage,1137,401,79646.6,5,5.62,86.41,Optimal
R_Pune,19-10-2024,A,231,214,15,Welding,Valeo,Gearbox,8,51,Machine_Failure,324,364,63548.99,0,7.01,92.64,Below Reorder
R_Aurangabad,22-08-2024,C,234,228,7,Welding,Bosch,Gearbox,9,111,Maintenance,450,570,46540.32,3,3.07,97.44,Below Reorder
R_Pune,27-08-2024,C,201,168,5,Electrical,Valeo,Body_Parts,2,43,Material_Shortage,408,504,49756.08,1,2.98,83.58,Below Reorder
R_Chakan,25-04-2024,A,222,183,6,Assembly,Mahindra_Suppliers,Engine_Parts,13,8,Power_Failure,769,493,71414.63,3,3.28,82.43,Optimal
R_Pune,10-01-2024,C,241,203,14,No Defect,Valeo,Engine_Parts,9,121,Material_Shortage,741,389,72421.07,2,6.9,84.23,Optimal
R_Pune,14-08-2024,A,198,174,7,Electrical,Continental,Body_Parts,10,163,Power_Failure,717,528,45105.13,0,4.02,87.88,Optimal
R_Aurangabad,16-04-2024,C,185,165,12,No Defect,Valeo,Engine_Parts,2,6,Machine_Failure,1147,316,58466.1,3,7.27,89.19,Optimal
R_Aurangabad,17-06-2024,A,252,230,8,Welding,Bosch,Gearbox,10,9,Maintenance,205,521,61167.33,1,3.48,91.27,Below Reorder
R_Pune,11-08-2024,B,257,248,3,Welding,Mahindra_Suppliers,Body_Parts,13,15,Power_Failure,953,471,49081.89,4,1.21,96.5,Optimal
R_Chakan,13-09-2024,B,238,228,4,Painting,Mahindra_Suppliers,Body_Parts,5,70,Material_Shortage,636,358,58572.27,4,1.75,95.8,Optimal
R_Aurangabad,10-03-2024,C,247,213,5,Welding,ZF,Engine_Parts,3,29,Power_Failure,1000,591,64222.25,2,2.35,86.23,Optimal
R_Pune,27-01-2024,A,194,186,7,Electrical,Bosch,Electronics,13,22,Power_Failure,463,366,72298.93,1,3.76,95.88,Optimal
R_Chakan,01-02-2024,B,193,155,11,Assembly,Valeo,Electronics,12,130,Maintenance,990,366,66846.47,0,7.1,80.31,Optimal
R_Aurangabad,05-04-2024,B,236,201,10,Assembly,Continental,Engine_Parts,8,137,Power_Failure,1028,519,57153.05,0,4.98,85.17,Optimal
R_Pune,25-10-2024,A,190,177,5,Electrical,Bosch,Body_Parts,12,118,Material_Shortage,423,533,70588.58,3,2.82,93.16,Below Reorder
R_Pune,25-05-2024,A,258,243,15,Electrical,Valeo,Electronics,8,61,Material_Shortage,385,509,49656.08,0,6.17,94.19,Below Reorder
R_Chakan,09-08-2024,C,222,200,10,Electrical,Mahindra_Suppliers,Engine_Parts,11,170,Power_Failure,630,585,72116.71,5,5.0,90.09,Optimal
R_Aurangabad,15-02-2024,A,245,223,11,Electrical,Valeo,Body_Parts,2,169,Power_Failure,239,374,74013.45,2,4.93,91.02,Below Reorder
R_Pune,13-05-2024,A,217,195,0,Assembly,Continental,Electronics,3,25,Machine_Failure,726,545,78142.03,3,0.0,89.86,Optimal
R_Aurangabad,28-03-2024,C,231,198,0,Electrical,Continental,Engine_Parts,11,16,Power_Failure,501,444,70434.14,3,0.0,85.71,Optimal
R_Chakan,07-03-2024,B,211,200,14,Assembly,ZF,Engine_Parts,9,27,Machine_Failure,749,404,77116.45,3,7.0,94.79,Optimal
R_Chakan,10-08-2024,C,240,207,15,Assembly,Valeo,Body_Parts,6,79,Maintenance,661,353,56042.68,1,7.25,86.25,Optimal
R_Pune,20-10-2024,B,243,228,14,Assembly,Bosch,Electronics,7,68,Power_Failure,1156,341,58678.11,5,6.14,93.83,Optimal
R_Aurangabad,07-08-2024,C,245,210,14,Painting,Valeo,Engine_Parts,5,159,Machine_Failure,592,437,63858.63,4,6.67,85.71,Optimal
R_Pune,13-04-2024,A,221,214,1,Welding,Bosch,Gearbox,4,147,Maintenance,300,330,63693.56,0,0.47,96.83,Below Reorder
R_Pune,14-03-2024,A,185,161,5,Welding,Continental,Engine_Parts,4,159,Maintenance,1150,523,71887.69,3,3.11,87.03,Optimal
R_Pune,06-05-2024,A,184,147,4,Painting,Valeo,Electronics,6,102,Material_Shortage,409,386,49342.6,0,2.72,79.89,Optimal
R_Pune,03-09-2024,C,193,174,2,Welding,Continental,Engine_Parts,11,37,Maintenance,1090,476,69603.96,2,1.15,90.16,Optimal
R_Chakan,13-02-2024,A,195,171,12,Painting,Bosch,Electronics,2,125,Material_Shortage,775,556,77581.99,4,7.02,87.69,Optimal
R_Pune,06-08-2024,A,246,222,4,No Defect,Bosch,Gearbox,3,25,Machine_Failure,1182,396,75336.41,4,1.8,90.24,Optimal
R_Aurangabad,08-03-2024,A,182,176,12,Electrical,Continental,Gearbox,5,164,Machine_Failure,263,542,49648.34,5,6.82,96.7,Below Reorder
R_Pune,14-09-2024,A,216,184,6,No Defect,Mahindra_Suppliers,Gearbox,5,174,Power_Failure,337,576,46974.29,0,3.26,85.19,Below Reorder
R_Aurangabad,30-06-2024,A,203,198,5,No Defect,Continental,Gearbox,2,51,Maintenance,236,507,57312.05,4,2.53,97.54,Below Reorder
R_Aurangabad,05-05-2024,B,225,198,9,Assembly,Continental,Engine_Parts,14,31,Power_Failure,609,415,58453.91,3,4.55,88.0,Optimal
R_Pune,27-07-2024,B,220,185,6,Painting,Bosch,Electronics,13,51,Power_Failure,215,303,64624.48,1,3.24,84.09,Below Reorder
R_Pune,18-06-2024,A,195,189,10,Welding,Mahindra_Suppliers,Gearbox,11,98,Power_Failure,712,448,75863.59,4,5.29,96.92,Optimal
R_Aurangabad,06-07-2024,B,248,226,8,Painting,Bosch,Gearbox,11,149,Maintenance,767,380,70452.73,0,3.54,91.13,Optimal
R_Aurangabad,02-10-2024,B,225,194,13,Painting,ZF,Electronics,5,73,Machine_Failure,203,592,76228.55,2,6.7,86.22,Below Reorder
R_Aurangabad,22-03-2024,A,249,239,10,No Defect,ZF,Electronics,11,78,Material_Shortage,1111,413,66523.87,4,4.18,95.98,Optimal
